timestamp,dex,cex
1618787443000,6.6200,6.2921
1618787563000,6.6200,6.2791
1618787743000,6.6200,6.2499
1618789183000,6.6200,6.2387
1618789483000,6.6200,6.2314
1618791403000,6.6200,6.1967
1618791523000,6.7708,6.0832
1618791703000,6.7708,6.0925
1618791763000,6.7708,6.1050
1618791883000,6.7708,6.1094
1618791943000,6.5344,6.0984
1618792123000,6.5344,6.1384
1618792183000,6.5122,6.1285
1618792243000,6.5122,6.1337
1618792303000,6.5122,6.1011
1618792423000,6.5122,6.0965
1618792723000,6.7513,6.1350
1618793023000,6.6565,6.1885
1618793563000,6.6565,6.2406
1618793623000,6.6565,6.3285
1618793743000,6.6565,6.3400
1618793803000,6.6565,6.3328
1618794103000,6.6565,6.3454
1618794343000,6.6346,6.3301
1618794403000,6.6346,6.3638
1618794523000,6.6346,6.3493
1618794883000,6.6346,6.3436
1618795123000,6.6346,6.3777
1618795363000,6.6346,6.3759
1618795603000,6.6346,6.3527
1618795663000,6.6346,6.3926
1618795783000,6.6201,6.3847
1618795903000,6.6201,6.3912
1618796203000,6.6513,6.3673
1618799143000,6.6454,6.3313
1618799263000,6.6454,6.2612
1618800163000,6.6454,6.2788
1618800223000,6.6454,6.3347
1618801603000,6.5049,6.3332
1618801723000,6.6454,6.3640
1618801783000,6.5080,6.3801
1618802023000,6.6450,6.3857
1618802323000,6.5074,6.3732
1618802503000,6.6441,6.3538
1618802923000,6.7827,6.3562
1618803103000,6.7260,6.3688
1618803343000,6.5864,6.3733
1618803643000,6.6554,6.3716
1618803763000,6.7953,6.3977
1618805263000,6.7243,6.4168
1618807303000,6.7521,6.3455
1618807583000,6.7521,6.2906
1618811123000,6.7521,6.2695
1618813323000,6.7521,6.2846
1618814071000,6.7521,6.3279
1618814191000,6.7521,6.3599
1618814491000,6.7521,6.3737
1618814856000,6.7521,6.3428
1618814916000,6.7521,6.3400
1618815516000,6.7521,6.3276
1618815816000,6.7521,6.3977
1618815996000,6.7521,6.3909
1618816476000,6.7521,6.3972
1618816656000,6.7521,6.4028
1618817016000,6.7521,6.3938
1618817076000,6.7521,6.3683
1618819836000,6.7073,6.3852
1618819896000,6.7073,6.3168
1618820196000,6.7073,6.3166
1618820496000,6.7073,6.2899
1618821416000,6.7073,6.2577
1618823156000,6.7073,6.2504
1618823876000,6.7073,6.1690
1618824056000,6.7073,6.1445
1618824116000,6.7073,6.1458
1618824836000,6.7073,6.1294
1618824956000,6.7073,6.1830
1618825016000,6.7162,6.2041
1618825076000,6.7162,6.2099
1618825196000,6.7162,6.2213
1618825256000,6.7162,6.2107
1618825316000,6.7162,6.2143
1618825556000,6.7162,6.2091
1618825976000,6.6241,6.1989
1618826096000,6.6241,6.1599
1618827216000,6.6241,6.1526
1618827516000,6.6206,5.9412
1618828056000,6.6206,5.9623
1618830216000,6.6206,5.9930
1618831576000,6.7213,6.0260
1618833056000,6.7099,6.0623
1618833236000,6.7099,6.1267
1618834376000,6.6533,6.1365
1618834796000,6.6533,6.0905
1618835816000,6.6533,6.1150
1618836808000,6.6691,6.0770
1618837508000,6.6691,6.0213
1618837928000,6.6691,5.9927
1618838288000,6.6635,5.9755
1618838468000,6.6635,5.9440
1618838828000,6.5525,5.9133
1618839008000,6.3667,5.8838
1618839068000,6.4744,5.8924
1618839188000,6.1714,5.9238
1618839248000,6.2754,5.9341
1618839308000,6.3826,5.9232
1618839728000,6.4357,5.9173
1618840308000,6.4357,5.9910
1618840368000,6.2334,5.9647
1618840428000,6.3352,5.9658
1618840488000,6.2352,6.0042
1618840608000,6.2352,6.0282
1618840908000,5.8581,6.0328
1618840968000,5.9064,6.0053
1618841028000,6.1000,6.0001
1618841088000,6.0056,5.9907
1618841508000,6.0290,5.9728
1618841808000,6.0770,5.9631
1618841928000,6.1249,5.9919
1618842648000,6.1273,5.9469
1618842828000,6.1515,5.8689
1618843308000,5.9623,5.8223
1618843428000,6.0096,5.7899
1618843728000,5.8269,5.7360
1618843788000,5.9193,5.7148
1618844208000,5.9193,5.7329
1618844328000,5.9193,5.7957
1618845648000,5.9659,5.7961
1618845768000,6.0126,5.7294
1618845828000,5.8296,5.7020
1618846008000,5.6549,5.6895
1618846068000,5.7444,5.7293
1618846128000,5.8338,5.7482
1618846308000,5.8789,5.7611
1618847628000,5.8789,5.7217
1618848448000,6.1683,5.6304
1618848508000,6.0722,5.7086
1618848628000,6.2712,5.7358
1618848688000,6.2217,5.7502
1618848748000,6.1728,5.7503
1618848988000,6.3695,5.7570
1618849048000,6.2688,5.7633
1618849108000,6.2688,5.7818
1618849228000,6.0743,5.8030
1618849288000,6.1229,5.7949
1618849828000,6.0913,5.8165
1618850008000,6.0913,5.8000
1618850348000,6.0437,5.7968
1618850408000,6.2002,5.7829
1618850648000,6.3210,5.7836
1618850748000,6.1246,5.7612
1618850868000,6.1244,5.7272
1618850988000,6.1244,5.7224
1618851048000,6.1234,5.6760
1618851108000,6.1718,5.6789
1618851228000,6.1718,5.6775
1618851348000,6.1718,5.6446
1618852068000,6.1718,5.6141
1618852308000,6.1718,5.5135
1618852428000,6.1726,5.4834
1618852488000,5.9842,5.4481
1618852548000,6.0314,5.4602
1618852608000,6.0797,5.4285
1618853328000,5.8955,5.4512
1618853448000,5.9880,5.3490
1618853808000,5.9880,5.3271
1618853928000,5.9850,5.4654
1618854048000,5.9850,5.4947
1618854448000,5.9850,5.5333
1618855048000,5.9850,5.5240
1618855328000,5.9622,5.5933
1618855628000,5.9622,5.5940
1618855688000,6.0549,5.6113
1618855808000,6.1010,5.6164
1618855928000,6.1010,5.6075
1618856048000,6.1571,5.6077
1618856108000,6.2036,5.6079
1618856268000,6.2177,5.5982
1618856328000,6.1222,5.5841
1618856448000,6.1685,5.5859
1618856988000,6.2151,5.5819
1618857108000,6.1671,5.6296
1618857228000,6.2136,5.6153
1618857348000,6.2759,5.6008
1618857408000,6.1790,5.6155
1618857468000,6.2256,5.6144
1618857588000,6.2880,5.6173
1618857648000,6.2391,5.6265
1618858068000,6.2394,5.6277
1618859568000,6.2394,5.6198
1618861848000,6.7599,5.6482
1618861908000,6.5460,5.6939
1618861968000,6.4429,5.7006
1618862088000,6.4429,5.7052
1618862208000,6.3422,5.6980
1618862388000,6.3422,5.6966
1618862568000,6.1478,5.6993
1618862628000,6.1964,5.6652
1618862688000,6.2947,5.6600
1618862868000,6.2849,5.6634
1618862988000,6.2361,5.6736
1618863828000,6.3365,5.6815
1618864968000,6.2383,5.6960
1618866328000,6.2383,5.7514
1618866988000,6.2262,5.7477
1618867108000,6.2262,5.7377
1618868908000,6.2277,5.7199
1618869208000,6.2395,5.7598
1618869388000,6.2395,5.7151
1618870288000,6.2441,5.7200
1618870408000,6.2472,5.6782
1618871488000,6.2462,5.6733
1618872568000,6.2462,5.6617
1618872688000,6.1884,5.5940
1618872748000,6.1884,5.6106
1618872868000,6.1884,5.6319
1618873928000,6.1884,5.6300
1618874048000,6.1884,5.6028
1618874828000,6.1410,5.5759
1618875608000,6.1410,5.4791
1618875788000,6.1410,5.4874
1618876928000,6.0941,5.4684
1618876988000,6.1416,5.4598
1618877048000,6.1369,5.4115
1618877828000,6.0439,5.3781
1618878308000,6.0363,5.4217
1618878368000,5.9456,5.2190
1618878488000,6.0377,5.2600
1618878548000,5.9469,5.2640
1618879268000,5.9023,5.2400
1618879448000,5.8715,5.1390
1618879928000,5.8715,5.1325
1618880048000,5.8496,5.2013
1618880108000,5.8942,5.1902
1618880168000,5.8069,5.2040
1618880288000,5.7983,5.1718
1618880948000,5.7132,5.1486
1618881008000,5.7997,5.2598
1618881068000,5.7146,5.2523
1618881248000,5.7061,5.2405
1618881308000,5.7080,5.2350
1618881368000,5.6994,5.2410
1618881488000,5.6208,5.2564
1618881548000,5.6628,5.2556
1618881908000,5.5806,5.2233
1618881968000,5.6645,5.2429
1618882508000,5.6798,5.2653
1618884068000,5.6734,5.2031
1618893068000,5.9414,5.1567
1618893308000,5.9509,5.2141
1618893608000,5.9492,5.2432
1618893728000,5.9716,5.2664
1618893908000,5.9708,5.2607
1618894088000,5.9869,5.2933
1618894988000,5.9860,5.3157
1618895348000,5.9770,5.3238
1618895528000,5.8880,5.3238
1618895588000,5.9779,5.3267
1618895708000,5.8888,5.3261
1618895768000,5.8888,5.3320
1618896068000,5.8888,5.3134
1618896128000,5.8888,5.2800
1618896368000,5.9303,5.2837
1618898288000,5.9214,5.2408
1618898768000,5.9632,5.2730
1618900628000,6.0337,5.3214
1618900688000,5.9913,5.1648
1618901048000,5.7458,5.1547
1618901108000,5.7866,5.0745
1618901408000,5.6296,5.0642
1618901468000,5.8765,5.0104
1618901528000,5.8765,5.0439
1618902188000,5.8316,5.0167
1618902248000,6.0953,5.0160
1618902308000,6.0522,5.0233
1618902488000,5.9845,5.0030
1618903464000,5.9384,5.0040
1618903824000,5.4685,5.0816
1618903884000,5.0522,5.0655
1618903944000,4.9239,5.0928
1618904004000,5.1259,5.0890
1618904064000,5.3511,5.0930
1618904124000,5.2806,5.0639
1618904184000,5.3521,5.0546
1618904424000,5.2612,5.0233
1618904484000,6.0479,5.0185
1618904544000,5.5653,5.0518
1618904604000,5.4905,5.0572
1618904964000,5.5153,5.0630
1618905204000,5.6207,5.1261
1618905324000,5.8674,5.1666
1618905384000,5.7865,5.1779
1618905684000,5.8269,5.1703
1618905744000,5.7866,5.1707
1618905804000,5.8225,5.1735
1618905984000,5.8225,5.1711
1618906404000,5.8628,5.1766
1618906464000,5.9034,5.2666
1618906524000,5.8632,5.2688
1618906824000,5.6307,5.2748
1618906884000,5.7883,5.2834
1618907124000,5.8683,5.2639
1618907784000,5.8770,5.2956
1618908144000,5.9037,5.2260
1618909124000,5.9037,5.2201
1618909484000,5.9037,5.3207
1618909904000,5.9216,5.3447
1618910204000,5.9216,5.3255
1618910684000,5.9216,5.3667
1618910984000,5.9216,5.3105
1618911104000,6.2062,5.3741
1618911164000,6.2062,5.3823
1618911224000,6.0704,5.3856
1618911284000,5.9851,5.3856
1618911524000,5.9939,5.3807
1618912784000,5.9661,5.3897
1618913384000,5.9577,5.3572
1618913624000,5.9647,5.4004
1618913924000,5.9639,5.3823
1618917520000,5.9009,5.4322
1618919200000,5.9570,5.4532
1618919320000,5.9913,5.5296
1618919740000,5.9913,5.5346
1618921060000,5.9913,5.5768
1618921240000,5.9913,5.5105
1618922080000,5.9912,5.5254
1618922840000,5.9609,5.5676
1618923020000,5.9609,5.5189
1618924260000,5.9609,5.5190
1618925200000,6.0312,5.5716
1618925860000,6.0287,5.5468
1618925920000,6.0306,5.5768
1618927240000,6.0320,5.5783
1618928020000,6.1193,5.6666
1618928080000,6.1193,5.6470
1618928260000,6.1193,5.6172
1618928440000,6.2996,5.6143
1618928500000,6.2098,5.5813
1618928560000,6.1656,5.5733
1618928680000,6.5271,5.5602
1618928740000,6.5271,5.5786
1618928800000,6.2491,5.5933
1618928920000,6.2402,5.6049
1618929160000,6.2330,5.6201
1618929520000,6.2277,5.5640
1618929700000,6.1394,5.5078
1618929760000,6.1394,5.4779
1618929880000,5.8233,5.4619
1618929940000,5.9068,5.4785
1618930120000,5.9930,5.4718
1618930860000,5.9930,5.4773
1618932540000,6.0036,5.4801
1618933140000,5.9888,5.3851
1618934500000,6.0591,5.3838
1618935340000,6.0590,5.5018
1618935680000,6.0496,5.5286
1618935980000,6.1202,5.5220
1618936400000,6.1211,5.5167
1618938740000,6.0736,5.4370
1618939000000,6.1444,5.5563
1618939060000,6.1409,5.5458
1618939240000,6.1314,5.5488
1618939300000,6.1314,5.5335
1618939360000,6.1314,5.5286
1618939460000,6.0961,5.5237
1618940120000,6.0440,5.5252
1618940600000,6.0440,5.5307
1618940720000,6.1239,5.5473
1618941080000,6.1221,5.5299
1618941140000,6.1178,5.5245
1618941200000,6.0878,5.5343
1618941720000,6.1178,5.5300
1618941780000,6.1101,5.5474
1618941840000,6.1101,5.5505
1618942260000,6.1101,5.5698
1618942620000,6.0929,5.5763
1618943340000,6.1010,5.5894
1618946280000,6.1010,5.6371
1618946760000,6.0839,5.6401
1618947000000,6.0839,5.6211
1618947420000,6.0797,5.6276
1618947480000,6.1074,5.6567
1618948680000,6.1012,5.6728
1618948860000,6.1003,5.6489
1618949220000,6.0973,5.6637
1618950380000,6.0930,5.6500
1618950500000,6.0904,5.6596
1618950920000,6.0862,5.6288
1618951760000,6.0862,5.6113
1618952280000,6.1810,5.5727
1618952340000,6.1801,5.5227
1618952580000,6.1366,5.5336
1618952820000,6.1366,5.5727
1618953320000,6.1366,5.5827
1618953440000,6.1364,5.5219
1618953980000,6.1364,5.5378
1618954500000,6.1321,5.4833
1618955076000,6.1321,5.5269
1618955444000,6.1321,5.5444
1618956292000,6.1321,5.5663
1618956532000,6.1295,5.6111
1618958080000,5.7205,5.6033
1618958140000,5.8846,5.5745
1618958200000,5.9329,5.5939
1618958260000,5.9746,5.6044
1618958500000,5.9738,5.6112
1618958960000,5.9738,5.6227
1618959600000,5.9713,5.5319
1618960720000,5.9713,5.5806
1618961200000,5.9680,5.6028
1618962160000,5.9656,5.6221
1618962220000,5.9632,5.6739
1618962340000,5.9623,5.6948
1618963520000,6.0458,5.6913
1618963640000,6.0433,5.7433
1618963700000,6.0400,5.7208
1618965380000,6.0881,5.6855
1618965620000,6.0881,5.7339
1618965740000,6.0924,5.6742
1618966200000,6.0924,5.6824
1618966680000,6.0094,5.6428
1618969708000,5.9957,5.5850
1618970228000,5.9941,5.6531
1618973328000,6.0777,5.7032
1618973788000,6.0751,5.7124
1618974508000,6.0743,5.7156
1618975148000,6.0714,5.6987
1618976168000,6.0756,5.6728
1618977388000,5.9930,5.5930
1618978228000,5.9716,5.5329
1618978348000,5.9716,5.5173
1618980368000,6.0170,5.5026
1618980668000,6.0417,5.5983
1618983313000,6.1253,5.6149
1618986209000,6.1256,5.5612
1618986449000,6.1261,5.6816
1618987289000,6.1219,5.6860
1618987469000,6.1144,5.6647
1618990709000,6.1234,5.6929
1618993369000,6.1190,5.6428
1618993549000,6.1169,5.5902
1618993889000,6.1146,5.5754
1618995789000,6.0811,5.5679
1618996269000,6.0948,5.5899
1618996329000,6.0532,5.6287
1618996389000,6.0121,5.6412
1618997589000,5.9755,5.6413
1618999925000,6.0001,5.6721
1619001045000,6.0015,5.5557
1619002545000,6.0096,5.5131
1619004885000,5.9933,5.4548
1619005005000,5.9771,5.3791
1619005965000,5.9839,5.3594
1619006025000,5.9907,5.3558
1619006145000,5.9975,5.3511
1619006265000,6.0471,5.3605
1619006385000,6.0209,5.3835
1619006505000,6.0277,5.3997
